"","date","Country","diabetes_prevalence","aged_70_older","total_deaths"
"119",2020-06-30,"Malawi",3.94,1.783,14
"120",2020-06-30,"Malaysia",16.74,3.407,121
"121",2020-06-30,"Maldives",9.19,2.875,8
"122",2020-06-30,"Mali",2.42,1.486,115
"123",2020-06-30,"Malta",8.83,11.324,9
"124",2020-06-30,"Mauritania",2.42,1.792,126
"125",2020-06-30,"Mauritius",22.02,5.884,10
"126",2020-06-30,"Mexico",13.06,4.321,27121
"127",2020-06-30,"Moldova",5.72,6.955,536
"128",2020-06-30,"Monaco",5.46,NA,5
"129",2020-06-30,"Mongolia",4.82,2.421,0
"130",2020-06-30,"Montenegro",10.08,9.395,11
"131",2020-06-30,"Montserrat",NA,NA,1
"132",2020-06-30,"Morocco",7.14,4.209,225
"133",2020-06-30,"Mozambique",3.3,1.87,6
"134",2020-06-30,"Myanmar",4.61,3.12,6
"135",2020-06-30,"Namibia",3.94,2.085,0
"136",2020-06-30,"Nepal",7.26,3.212,29
"137",2020-06-30,"Netherlands",5.29,11.881,6107
"138",2020-06-30,"New Caledonia",23.36,6.489,0
"139",2020-06-30,"New Zealand",8.08,9.72,22
"140",2020-06-30,"Nicaragua",11.47,3.519,74
"141",2020-06-30,"Niger",2.42,1.378,67
"142",2020-06-30,"Nigeria",2.42,1.447,573
"143",2020-06-30,"Northern Mariana Islands",NA,NA,2
"144",2020-06-30,"Norway",5.31,10.813,249
"145",2020-06-30,"Oman",12.61,1.53,169
"146",2020-06-30,"Pakistan",8.35,2.78,4304
"147",2020-06-30,"Palestine",10.59,1.726,8
"148",2020-06-30,"Panama",8.33,5.03,620
"149",2020-06-30,"Papua New Guinea",17.65,2.142,0
"150",2020-06-30,"Paraguay",8.27,3.833,16
"151",2020-06-30,"Peru",5.95,4.455,9504
"152",2020-06-30,"Philippines",7.07,2.661,1255
"153",2020-06-30,"Poland",5.91,10.202,1444
"154",2020-06-30,"Portugal",9.85,14.924,1568
"155",2020-06-30,"Puerto Rico",12.9,9.829,153
"156",2020-06-30,"Qatar",16.52,0.617,113
